"","Species","Year","Quarter","IntercatchMetierTag","VesselLenthCategory","Area","Landings","Value","value_euro","FDFVessel","Discards","Country","ID"
"62","COD",2015,"Q4","GNS_DEF_>=220_0_0","24<40m","27.4.a",2.14645874389529,83103.5479931236,9187.2634377358,NA,NA,"NO",62
"63","COD",2015,"Q4","GNS_DEF_120-219_0_0","10<24m","27.4.a",79.113114857464,2160014.54752809,238793.928258326,NA,NA,"NO",63
"64","COD",2015,"Q4","GNS_DEF_120-219_0_0","24<40m","27.4.a",110.774684346972,1556190.20263918,172039.939282167,NA,NA,"NO",64
"65","COD",2015,"Q4","GNS_DEF_71-89_0_0","24<40m","27.4.a",68.6566749290356,1722721.60163778,190450.31850426,NA,NA,"NO",65
"66","COD",2015,"Q4","GNS_DEF_90-99_0_0","24<40m","27.4.a",145.69233557217,3338416.57874116,369068.629612992,NA,NA,"NO",66
"67","COD",2015,"Q4","MIS_MIS_0_0_0","24<40m","27.4.a",7.86144766026085,234581.772076053,25933.4840665518,NA,NA,"NO",67
"68","COD",2015,"Q4","OTB_CRU_>=120_0_0","24<40m","27.4.a",17.0329707251586,414982.805198264,45877.1790802785,NA,NA,"NO",68
"69","COD",2015,"Q4","OTB_DEF_>=120_0_0","10<24m","27.3.a.20",0.337944606700526,9217.16234065046,1018.97573108359,NA,NA,"NO",69
"70","COD",2015,"Q4","OTB_DEF_>=120_0_0","10<24m","27.4.a",0.768881543388805,18562.8051315666,2052.15523290496,NA,NA,"NO",70
"71","COD",2015,"Q4","OTB_DEF_>=120_0_0","24<40m","27.3.a.20",1.25060176835922,50073.6368894971,5535.74070540769,NA,NA,"NO",71
"72","COD",2015,"Q4","OTB_DEF_>=120_0_0","24<40m","27.4.a",31.0644329610947,765078.200012351,84580.9251677654,NA,NA,"NO",72
"73","COD",2015,"Q4","OTB_DEF_>=120_0_0","24<40m","27.4.b",1.13804820658427,31447.5032225007,3476.5843762539,NA,NA,"NO",73
"74","COD",2015,"Q4","OTB_DEF_32-69_0_0","10<24m","27.3.a.20",0.138169664474012,3262.00467013813,360.62114029311,NA,NA,"NO",74
"75","COD",2015,"Q4","OTB_DEF_70-89_0_0","10<24m","27.3.a.20",0.0594086021505377,2337.92114695341,258.461858637992,NA,NA,"NO",75
"76","COD",2015,"Q4","OTB_SPF_>=120_0_0","24<40m","27.4.a",11.1479978368772,241369.187904753,26683.8464612462,NA,NA,"NO",76
"77","COD",2015,"Q4","PTB_DEF_>=120_0_0","24<40m","27.4.a",45.6435700414896,1123057.05201689,124156.203214571,NA,NA,"NO",77
"78","COD",2015,"Q4","SSC_DEF_>=120_0_0","10<24m","27.3.a.20",3.28745770685322,76031.6114062251,8405.446704181,NA,NA,"NO",78
