"","Year","Quarter","IntercatchMetierTag","VesselLenthCategory","Area","KWdays","DaysatSea","NoVessels","FDFVessel","Country","ID"
"82",2015,"Q2","OTB_DEF_32-69_0_0","24<40m","27.4.b",5058.59867777778,6.87777777777778,1,NA,"NO",82
"83",2015,"Q2","OTB_DEF_32-89_0_0","10<24m","27.3.d.32",137.599604583333,0.311805555555556,1,NA,"NO",83
"84",2015,"Q2","OTB_DEF_70-89_0_0","10<24m","27.3.a.20",2076.69760066782,7.46613425925926,2,NA,"NO",84
"85",2015,"Q2","OTB_DEF_90-99_0_0","10<24m","27.3.a.20",NA,18.6548263888889,6,NA,"NO",85
"86",2015,"Q2","OTB_SPF_<16_0_0","=40m","27.4.b",816.251478262778,0.257476851851852,2,NA,"NO",86
"87",2015,"Q2","OTB_SPF_<16_0_0","24<40m","27.4.b",3019.37815624792,2.56736111111111,1,NA,"NO",87
"88",2015,"Q2","OTB_SPF_>=120_0_0","=40m","27.4.a",616.409964346528,0.143402777777778,2,NA,"NO",88
"89",2015,"Q2","OTB_SPF_>=120_0_0","10<24m","27.4.a",3989.06054861111,6.16319444444444,1,NA,"NO",89
"90",2015,"Q2","OTB_SPF_>=120_0_0","24<40m","27.3.a.20",231.886490277778,0.315277777777778,1,NA,"NO",90
"91",2015,"Q2","OTB_SPF_>=120_0_0","24<40m","27.4.a",19094.8077508244,25.3384837962963,7,NA,"NO",91
"92",2015,"Q2","OTB_SPF_16-31_0_0","=40m","27.4.a",2958.44576713108,1.48658564814815,4,NA,"NO",92
"93",2015,"Q2","OTB_SPF_16-31_0_0","=40m","27.4.b",39.16532175,0.00986111111111111,1,NA,"NO",93
"94",2015,"Q2","OTB_SPF_16-31_0_0","=40m","27.4.c",38.9303706805556,0.0190740740740741,1,NA,"NO",94
"95",2015,"Q2","OTB_SPF_16-31_0_0","10<24m","27.4.a",0.834970132118056,0.00174652777777778,1,NA,"NO",95
"96",2015,"Q2","OTB_SPF_16-31_0_0","24<40m","27.4.a",2954.25431666667,2.67777777777778,1,NA,"NO",96
"97",2015,"Q2","OTB_SPF_16-31_0_0","24<40m","27.4.b",1087.04147307708,0.924305555555556,1,NA,"NO",97
"98",2015,"Q2","OTB_SPF_32-69_0_0","10<24m","27.3.a.20",178.691014339583,0.729803240740741,5,NA,"NO",98
"99",2015,"Q2","OTB_SPF_32-69_0_0","10<24m","27.4.a",8170.45344726823,15.4291136188272,2,NA,"NO",99
"100",2015,"Q2","OTB_SPF_32-69_0_0","24<40m","27.3.a.20",11955.9448555556,16.2555555555556,1,NA,"NO",100
"101",2015,"Q2","OTB_SPF_32-69_0_0","24<40m","27.4.a",12631.9254717789,17.7419791666667,4,NA,"NO",101
"102",2015,"Q2","OTB_SPF_70-89_0_0","10<24m","27.3.a.20",25.3998280237269,0.0986689814814815,1,NA,"NO",102
"103",2015,"Q2","OTB_SPF_90-99_0_0","10<24m","27.3.a.20",21.9823966168981,0.0853935185185185,1,NA,"NO",103
"104",2015,"Q2","OTM_DEF_<16_0_0","=40m","27.4.a",48.4690265657639,0.0171064814814815,2,NA,"NO",104
"105",2015,"Q2","OTM_DEF_<16_0_0","=40m","27.4.b",17712.845624833,3.5137962962963,2,NA,"NO",105
"106",2015,"Q2","OTM_DEF_<16_0_0","=40m","27.6.a",31.890776953125,0.0115625,1,NA,"NO",106
"107",2015,"Q2","OTM_DEF_>=120_0_0","=40m","27.4.a",336.291594854167,0.0747106481481482,1,NA,"NO",107
"108",2015,"Q2","OTM_DEF_>=120_0_0","24<40m","27.4.a",341.721858883102,0.185844907407407,1,NA,"NO",108
"109",2015,"Q2","OTM_DEF_>=120_0_0","24<40m","27.4.b",29.2411928819444,0.0159027777777778,1,NA,"NO",109
"110",2015,"Q2","OTM_DEF_16-31_0_0","=40m","27.3.a.20",97.3187760166667,0.0216203703703704,1,NA,"NO",110
"111",2015,"Q2","OTM_DEF_16-31_0_0","=40m","27.4.a",4196.53247306725,1.64197916666667,6,NA,"NO",111
"112",2015,"Q2","OTM_DEF_16-31_0_0","=40m","27.4.b",882.684931700023,0.516458333333333,4,NA,"NO",112
"113",2015,"Q2","OTM_DEF_16-31_0_0","=40m","27.6.a",181.342462696424,0.0510763888888889,5,NA,"NO",113
"114",2015,"Q2","OTM_DEF_32-39_0_0","=40m","27.6.a",178.9469492636,0.0519675925925926,2,NA,"NO",114
